1464  得力  01800000010180551000572013111508050101000      
1465  偉全  01800000010158417000082013111508050101000      
1466  聚隆  01800000010144745000472013111508050101000      
14661 聚隆一101000008002                        01000      
14662 聚隆二101000008002                        01000      
1467  南緯  01800000010161748000542013111508050101000      
1468  昶和  018000000101                        01000      
1469  理隆  018000000101                        01000      
1470  大統染01800000010165863000002013111508050101000      
1471  首利  04000000010188048000232013111508050101000      
1472  三洋紡018000000101                        01000      
1473  台南  01800000010129849002442013111508050101000      
1474  弘裕  01800000010198085000462013111508050101000      
1475  本盟  018001000101                        01000      
1476  儒鴻  01800400010102662000002013111508050101000      
1477  聚陽  01800400010105262000002013111508050101000      
14773 聚陽三101000008002                        01000      
14774 聚陽四101000008002                        01000      
1503  士電  01900000010123850000002013111508050101000      
1504  東元  01900420010128177000112013111508050101000      
15043 東元三101000008002                        01000      
1506  正道  01900000010155073001242013111508050101000      
1507  永大  01900400010110642000002013111508050101000      
1512  瑞利  01900000010199999001142013111508050101000      
1513  中興電01900000010146845002742013111508050101000      
1514  亞力  01900000010196825000372013111508050101000      
1515  力山  01900000010178607002322013111508050101000      
1516  川飛  033001000101                        01000      
1517  利奇  01900000010163622001862013111508050101000      
1519  華城  01900000010155471000782013111508050101000      
1521  大億  01900000010116039000162013111508050101000      
1522  堤維西01900000010157343003112013111508050101000      
1524  耿鼎  01900000010199999000272013111508050101000      
15243 耿鼎三101000008002                        01000      
1525  江申  01900000010116740000002013111508050101000      
1526  日馳  019000000101                        01000      
1527  鑽全  01900000010130047001302013111508050101000      
1528  恩德  01900000010165602000472013111508050101000      
1529  樂士  019001000101                        01000      
1530  亞崴  01900000010127661000252013111508050101000      
1531  高林股01900000010141768000142013111508050101000      
1532  勤美  02400000010120130000562013111508050101000      
1533  車王電01900000010126266000702013111508050101000      
1535  中宇  01900000010112331000062013111508050101000      
1536  和大  01900000010125150002632013111508050101000      
15363 和大三101000008002                        01000      
1537  廣隆  01900000010111580000212013111508050101000      
1538  正峰新019000000101                        01000      
1539  巨庭  01900000010159977000302013111508050101000      
1540  喬福  01900000010144904000042013111508050101000      
1541  錩泰  01900000010166877000002013111508050101000      
1558  伸興  10500000010206177000032013111508050101000      
1560  中砂  01900000010112816000602013111508050101000      
1565  精華  11700000010201221000002013111508050101000      
1566  捷邦  10500000010259743000642013111508050101000      
15661 捷邦一101000008002                        01000      
1569  濱川  12000000010248841000422013111508050101000      
15694 濱川四101000008002                        01000      
1570  力肯  105000000102                        01000      
1580  新麥  10500000010207659000142013111508050101000      
1582  信錦  04000000010118339000182013111508050101000      
1583  程泰  01900000010121188000002013111508050101000      
1584  精剛  13000000010280532000092013111508050101000      
15842 精剛二101000008002                        01000      
1586  和勤  105000000102                        01000      
