序,證券商,成交單價,買進股數,賣出股數
1,1021  合庫台中,13.05,0,"3,000"
2,1022  合庫台南,12.75,0,"8,000"
3,1022,12.80,0,"8,000"
4,1022,12.95,0,"5,907"
5,1022,13.05,0,"10,000"
6,1023  合庫高雄,12.55,"4,000",0
7,1023,13.05,0,"10,000"
8,1025  合庫基隆,12.80,0,"10,000"
9,1028  合庫彰化,12.60,"5,000",0
10,102C  合庫自強,12.60,0,"1,000"
11,1033  土銀高雄,12.90,"2,000",0
12,1037  土銀花蓮,12.75,"1,000",0
13,1040  臺    銀,12.60,"3,000",0
14,1040,12.75,"1,000","2,000"
15,1040,12.85,"4,000",0
16,1041  臺銀鳳山,12.80,"2,000",0
17,1042  臺銀臺南,12.60,"5,000",0
18,1043  臺銀民權,12.55,0,"3,000"
19,1043,12.75,0,"7,000"
20,1043,12.80,"10,000",0
21,104A  臺銀臺中,12.65,"1,000",0
22,104A,12.70,"1,000",0
23,104A,12.75,"1,000",0
24,104A,12.80,0,"3,000"
25,104A,12.95,"2,000",0
26,104D  臺銀金山,12.45,0,"1,000"
27,104D,12.50,"3,000",0
28,104D,12.65,0,"1,000"
29,104D,12.70,"1,000",0
30,104D,12.95,530,0
31,1095  工銀桃園,12.50,"3,000",0
32,1095,12.75,"1,000",0
33,1096  工銀板橋,12.80,"2,000","3,000"
34,1097  工銀高雄,12.60,"2,000",0
35,1110  企    銀,13.05,0,"2,000"
36,1111  企銀台中,12.85,"1,000",0
37,1114  企銀嘉義,12.75,"5,000",0
38,1114,12.80,"20,000",0
39,111B  台企建成,12.95,0,371
40,1160  日    盛,12.80,"1,000",0
41,1160,12.95,999,0
42,1161  日盛忠孝,12.50,0,"1,000"
43,1161,12.80,"2,000","2,000"
44,1163  日盛台中,12.95,2,0
45,1165  日盛板橋,12.45,"10,000",0
46,1165,12.80,0,"10,000"
47,1165,12.85,0,"9,000"
48,1165,12.90,0,"1,000"
49,1166  日盛雙和,12.95,0,70
50,1167  日盛嘉義,12.80,0,"1,000"
51,1168  日盛高雄,12.80,"2,000",0
52,116A  日盛木柵,12.60,0,"1,000"
53,116b  日盛園區,12.75,0,"2,000"
54,116B  日盛中壢,12.50,0,"2,000"
55,116c  日盛豐原,12.75,"2,000",0
56,116C  日盛八德,12.65,"1,000",0
57,116C,12.80,"1,000",0
58,116d  日盛三峽,12.60,"4,000",0
59,116e  日盛竹北,12.70,0,"20,000"
60,116e,12.90,0,"10,000"
61,116e,13.05,"10,000",0
62,116g  日盛龍潭,12.75,0,"1,000"
63,116g,12.85,"1,000",0
64,116H  日盛新竹,12.75,0,"1,000"
65,116i  日盛樹林,12.60,"1,000",0
66,116i,12.65,"10,000",0
67,116i,12.80,"10,000",0
68,116j  日盛頭份,12.90,"1,000",0
69,116j,12.95,"2,000",0
70,116k  日盛高雄,12.40,"1,000",0
71,116k,12.45,"1,000",0
72,116k,12.50,"2,000",0
73,116k,12.75,0,"3,000"
74,116k,12.80,0,"1,000"
75,116K  日盛花蓮,12.80,"8,000","2,000"
76,116K,12.85,"6,000",0
77,116K,12.95,"3,000",0
78,116m  日盛和美,12.60,"3,000",0
79,116m,12.80,0,"4,000"
80,116N  日盛永康,12.75,"2,000",0
81,116N,12.80,"4,000","5,000"
82,116s  日盛土城,12.65,"2,000",0
83,116S  日盛新莊,12.75,0,"3,000"
84,116Z  日盛中和,12.75,"1,000",0
