序,證券商,成交單價,買進股數,賣出股數
1,1020  合　　庫,20.35,"10,000",0
2,1020,20.45,"5,000",0
3,1021  合庫台中,20.35,0,"11,000"
4,1021,20.50,0,"9,000"
5,1025  合庫基隆,20.45,0,"1,000"
6,102C  合庫自強,20.40,"10,000","2,000"
7,102E  合庫東桃,20.30,0,"1,000"
8,1030  土　　銀,20.25,0,"1,000"
9,1030,20.45,0,"1,000"
10,1033  土銀高雄,20.45,"1,000",0
11,1034  土銀嘉義,20.25,"5,000",0
12,1034,20.35,"1,000",0
13,103C  土銀白河,20.40,0,"2,000"
14,1040  臺    銀,20.25,0,"1,000"
15,1040,20.40,"1,000",0
16,1041  臺銀鳳山,20.25,"1,000",0
17,1041,20.30,"2,000",0
18,1041,20.35,"1,000",0
19,1041,20.40,0,"2,000"
20,1041,20.45,"2,000",0
21,1041,20.50,"1,000",0
22,1042  臺銀臺南,20.40,"2,000",0
23,1043  臺銀民權,20.30,"1,000","3,000"
24,1043,20.40,0,"3,000"
25,1045  臺銀新竹,20.35,"10,000",0
26,104A  臺銀臺中,20.25,0,"2,000"
27,104C  臺銀高雄,20.25,0,48
28,104C,20.40,"1,000",0
29,1090  工    銀,20.35,0,"29,000"
30,1090,20.40,0,"20,000"
31,1091  工銀台中,20.25,"1,000",0
32,1116  企銀屏東,20.35,0,"7,000"
33,1116,20.40,0,"2,000"
34,111C  台企三民,20.40,0,"5,000"
35,1162  日盛台南,20.35,0,"100,000"
36,1162,20.40,0,"50,000"
37,1165  日盛板橋,20.25,"1,000","2,000"
38,1165,20.30,"1,000",0
39,1165,20.45,0,"1,000"
40,1166  日盛雙和,20.20,"3,000",0
41,1166,20.25,"4,000",40
42,1166,20.35,0,"3,000"
43,1166,20.40,"5,000",0
44,1166,20.45,"1,000","4,000"
45,1168  日盛高雄,20.20,0,"5,000"
46,1168,20.35,0,"1,000"
47,1169  日盛士林,20.30,0,"1,000"
48,116A  日盛木柵,20.25,0,909
49,116A,20.45,0,"2,000"
50,116b  日盛園區,20.35,0,"5,000"
51,116b,20.45,0,"7,000"
52,116C  日盛八德,20.40,0,"1,000"
53,116d  日盛三峽,20.30,0,"2,000"
54,116E  日盛三重,20.25,0,"5,000"
55,116f  日盛復興,20.20,0,"5,000"
56,116F  日盛員林,20.50,0,"4,000"
57,116g  日盛龍潭,20.25,0,54
58,116G  日盛景美,20.50,0,"1,000"
59,116H  日盛新竹,20.50,0,"1,000"
60,116i  日盛樹林,20.20,"1,000",0
61,116i,20.30,0,"40,000"
62,116i,20.35,0,"30,000"
63,116i,20.45,"2,000",0
64,116j  日盛頭份,20.30,0,"5,000"
65,116J  日盛中山,20.20,"3,000",0
66,116K  日盛花蓮,20.45,0,"1,000"
67,116L  日盛大墩,20.35,"6,000",0
68,116m  日盛和美,20.30,0,"1,000"
69,116m,20.40,0,"2,000"
70,116N  日盛永康,20.30,"1,000",0
71,116P  日盛信義,20.40,"1,000","2,000"
72,116Q  日盛二林,20.30,"10,000",0
73,116Q,20.40,"5,000",0
74,116Q,20.45,0,"15,000"
75,116r  日盛文化,20.30,0,"40,000"
76,116r,20.35,0,"20,000"
77,116S  日盛新莊,20.25,0,331
78,116S,20.30,0,"1,000"
79,116v  日盛幸福,20.40,"1,000",0
80,116V  日盛斗六,20.35,0,"2,000"
81,116X  日盛宜蘭,20.30,0,"8,000"
82,116Z  日盛中和,20.30,0,"30,000"
83,1230  彰    銀,20.25,"5,000",0
84,1233  彰銀台中,20.30,"1,000",0
85,1233,20.45,"1,000",0
86,126H  宏遠中和,20.20,0,"10,000"
87,126H,20.25,"1,000",0
88,126H,20.30,0,"4,000"
89,126H,20.40,0,"40,000"
90,126U  宏遠館前,20.30,"1,000",0
91,1470  台灣摩根,20.20,"1,000",0
92,1470,20.30,"17,000",0
93,1470,20.35,"23,000","4,000"
94,1470,20.40,"41,000","11,000"
95,1470,20.45,"3,000","5,000"
96,1470,20.50,"1,000",0
97,1480  美商高盛,20.25,540,0
98,1480,20.30,"93,000",0
99,1480,20.35,"86,000",0
100,1480,20.40,"160,000",0
101,1480,20.45,"58,000",0
102,1480,20.50,"76,000",0
103,1520  瑞士信貸,20.20,"4,000",0
104,1520,20.25,"18,000",0
105,1520,20.30,"72,000",0
106,1520,20.35,"55,000",0
107,1520,20.40,"77,000",0
108,1520,20.45,"6,000",0
109,1530  德意志,20.20,0,"9,000"
110,1530,20.25,"9,000",0
111,1530,20.30,"9,000","1,000"
112,1530,20.35,"36,000","4,000"
113,1530,20.40,"37,000",0
114,1530,20.45,"6,000","7,000"
115,1530,20.50,"3,000",0
116,1570  港商法興,20.45,0,"7,000"
117,1650  瑞銀,20.25,"11,000","4,000"
118,1650,20.30,"36,000","93,000"
119,1650,20.35,"44,000","120,000"
120,1650,20.40,"45,000","83,000"
121,1650,20.45,"27,000","11,000"
122,1650,20.50,"9,000",0
123,2180  亞    東,20.35,"2,000",0
124,2180,20.40,0,"5,000"
125,2181  亞東板橋,20.40,0,"7,000"
126,2184  亞東新竹,20.25,0,"2,000"
127,2184,20.35,"13,000",0
128,2187  亞東台中,20.25,"2,000",0
129,2189  亞東桃園,20.30,"1,000",0
130,5059  大展武昌,20.25,"2,000",0
131,5059,20.30,"8,000",0
132,5262  大慶楊梅,20.30,0,"1,000"
133,5262,20.45,"1,000",0
134,526K  大慶富順,20.30,"1,000",0
135,526K,20.40,0,"10,000"
136,5320  高    橋,20.30,0,"1,000"
137,5321  高橋龍潭,20.40,"4,000","1,000"
138,5321,20.45,"2,000",0
139,5380  第一金證,20.25,"1,000",0
140,5382  第一台中,20.40,0,"1,000"
141,5382,20.50,0,"1,000"
142,5383  第一高雄,20.35,0,"1,000"
143,5384  第一台南,20.40,0,"3,000"
144,5385  第一桃園,20.40,"5,000",0
145,5387  第一澎湖,20.40,0,"1,000"
146,538C  第一光復,20.30,"1,000",0
147,538C,20.45,"1,000",0
148,538E  第一自由,20.30,"1,000",0
149,538E,20.35,"10,000","10,000"
150,538E,20.40,"1,000",0
151,538G  第一中和,20.30,0,"4,000"
152,538P  第一路竹,20.30,"5,000",0
153,538X  第一新莊,20.30,0,"12,000"
154,538Y  第一中壢,20.35,0,"5,000"
155,538Y,20.45,"3,000",0
156,5600  永    興,20.30,"20,000",0
157,5690  豐    興,20.40,0,"1,000"
158,5850  統    一,20.25,0,"10,000"
159,5850,20.30,0,"26,000"
160,5850,20.35,0,"24,000"
161,5850,20.40,0,"60,000"
162,5850,20.45,"1,000","19,000"
163,5850,20.50,"1,000",0
164,5851  統一高雄,20.30,0,"3,000"
165,5852  統一敦南,20.25,"1,000",0
166,5852,20.30,0,"1,000"
167,5852,20.40,0,"2,000"
168,5852,20.45,"2,000",0
169,5853  統一中壢,20.45,0,"2,000"
170,5856  統一台中,20.40,"50,000",0
171,5858  統一嘉義,20.35,"100,000",0
172,585A  統一基隆,20.25,0,499
173,585C  統一三民,20.40,"1,000",0
174,585G  統一延平,20.25,999,0
175,585J  統一三重,20.40,"12,000",0
176,585P  統一板橋,20.35,"2,000","2,000"
177,585S  統一宜蘭,20.35,"10,000",0
178,585S,20.40,0,"20,000"
179,585U  統一南京,20.35,"2,000",0
180,5860  盈    溢,20.40,"20,000",0
181,5862  盈溢楠梓,20.35,0,"1,000"
182,5921  元富高雄,20.40,"1,000","10,000"
183,5922  元富新店,20.20,"10,000",0
184,5922,20.50,"5,000",0
185,5925  元富台中,20.30,"1,000",0
186,5927  元富林園,20.35,0,"1,000"
187,5929  元富台南,20.20,0,"15,000"
188,5929,20.30,0,"15,000"
189,592a  元富松德,20.35,0,"1,000"
190,592b  元富板橋,20.50,"5,000",0
191,592B  元富永和,20.40,0,"1,000"
192,592D  元富大昌,20.35,0,"1,000"
193,592e  元富古亭,20.25,"1,000",0
194,592E  元富城中,20.40,0,"2,000"
195,592E,20.50,0,"3,000"
196,592g  元富中原,20.30,0,"20,000"
197,592H  元富信義,20.45,0,"1,000"
198,592I  元富嘉義,20.35,"10,000","10,000"
199,592j  元富府中,20.40,0,"7,000"
200,592l  元富大裕,20.40,"10,000",0
201,592l,20.45,"2,000",0
202,592L  元富中壢,20.40,0,"2,000"
203,592L,20.45,"2,000",0
204,592m  元富成功,20.35,0,"20,000"
205,592P  元富同大,20.30,0,"5,000"
206,592u  元富世貿,20.40,0,"3,000"
207,592W  元富吉利,20.35,0,"1,000"
208,592X  元富草屯,20.20,"5,000",0
209,592X,20.25,"5,000",0
210,592X,20.35,0,"2,000"
211,592Z  元富安南,20.35,"1,000",0
212,592Z,20.40,0,"1,000"
213,6012  ★亞網路,20.30,"1,000","1,000"
