序,證券商,成交單價,買進股數,賣出股數
561,9625  富邦竹東,33.80,"2,000",0
562,9625,34.00,"2,000",0
563,9625,34.50,"3,000",0
564,9634  富邦羅東,33.70,"2,000",0
565,9634,33.75,"4,000",0
566,9634,33.80,"2,000",0
567,9634,33.85,"3,000",0
568,9634,33.90,"2,000",0
569,9634,34.00,"1,000",0
570,9634,34.10,"1,000",0
571,9634,34.20,"2,000",0
572,9634,34.30,"1,000",0
573,9634,34.40,"1,000",0
574,9634,34.50,"1,000",0
575,9645  富邦南京,33.85,"10,000","1,000"
576,9651  富邦民生,33.80,"3,000",0
577,9651,33.90,"1,000",0
578,9651,34.65,"1,000",0
579,9652  富邦世貿,33.90,0,"10,000"
580,9652,34.10,0,"10,000"
581,9654  富邦永和,33.80,"2,000",0
582,9654,33.85,0,"1,000"
583,9654,33.90,"2,000",0
584,9654,34.05,"2,000",0
585,9654,34.60,"1,000",0
586,9655  富邦板橋,33.80,0,"20,000"
587,9658  富邦建國,34.10,0,"2,000"
588,9659  富邦高雄,33.85,"10,000",0
589,9665  富邦桃園,33.90,0,"1,000"
590,9668  富邦小北,34.15,0,"2,000"
591,9671  富邦八德,33.75,"1,000",0
592,9671,34.05,"1,000",0
593,9671,34.15,"1,000",0
594,9671,34.35,"1,000",0
595,9673  富邦城中,33.80,"4,000",0
596,9673,34.60,0,"2,000"
597,9673,34.65,0,"2,000"
598,9678  富邦北投,34.25,"1,000",0
599,9678,34.65,0,"1,000"
600,9679  富邦延吉,33.80,"1,000",0
601,9679,33.85,"1,000",0
602,9686  富邦宜蘭,34.00,"5,000",0
603,9686,34.10,0,"1,000"
604,980C  元大斗六,33.85,"6,000",0
605,980C,34.25,"6,000",0
606,980D  元大開元,33.75,"2,000",0
607,980D,34.25,0,"5,000"
608,980D,34.60,"1,000",0
609,980h  元大台北,33.85,"10,000",0
610,980h,34.20,0,"10,000"
611,980u  元大府城,34.65,0,"4,000"
612,9812  元大台中,33.85,"10,000","8,000"
613,9812,34.65,0,"5,000"
614,981C  元大路竹,33.90,"1,000",0
615,981e  元大佳里,33.90,0,"5,000"
616,981g  元大大里,34.05,"2,000",0
617,981G  元大彰化,33.80,"4,000",0
618,981G,34.00,"2,000",0
619,981G,34.10,"2,000",0
620,981G,34.25,"2,000",0
621,981G,34.30,0,"1,000"
622,981i  元大西螺,33.85,"2,000",0
623,981J  元大高福,33.85,"2,000",0
624,981L  元大莒光,34.00,"2,000",0
625,981M  元大苗栗,34.30,0,"1,000"
626,981p  元大松山,34.00,"2,000",0
627,981p,34.30,"5,000",0
628,981q  元大艋舺,34.00,0,"2,000"
629,981q,34.25,"1,000",0
630,981q,34.55,"1,000",0
631,981S  元大崇德,33.90,0,"1,000"
632,9822  元大學府,34.20,"3,000",0
633,9825  元大新營,33.70,"1,000",0
634,982A  元大羅東,34.65,0,552
635,982C  元大六合,34.65,0,"2,000"
636,9831  元大四維,33.80,"1,000",0
637,9834  元大中壢,33.85,0,"1,000"
638,9834,34.65,1,0
639,9837  元大北港,34.00,"3,000",0
640,9838  元大豐中,33.85,"1,000",0
641,983a  元大花蓮,33.80,"2,000",0
642,983B  元大林森,33.80,"2,000",0
643,983B,33.85,"3,000",0
644,983B,34.00,"1,000",0
645,983B,34.05,"4,000",0
646,983B,34.15,"2,000",0
