序,證券商,成交單價,買進股數,賣出股數
1,1021  合庫台中,19.70,"1,000",0
2,1021,19.80,"2,000",0
3,1021,19.85,0,"4,000"
4,1021,19.90,"2,000",0
5,1028  合庫彰化,19.90,"1,000",0
6,102E  合庫東桃,19.65,0,"1,000"
7,102E,19.75,0,"5,000"
8,102E,19.80,"1,000",0
9,1030  土　　銀,19.80,0,"1,000"
10,1033  土銀高雄,19.70,"1,000",0
11,103D  土銀湖口,19.65,"2,000",0
12,1040  臺    銀,19.85,0,"1,000"
13,1042  臺銀臺南,19.65,"1,000","2,000"
14,1043  臺銀民權,19.75,"1,000",0
15,1043,19.85,"1,000",0
16,104C  臺銀高雄,19.70,"1,000",0
17,1160  日    盛,19.75,"2,000",0
18,1161  日盛忠孝,19.60,"1,000",0
19,1161,19.80,"1,000",0
20,1161,19.90,"2,000",0
21,1161,20.00,0,100
22,1162  日盛台南,19.65,0,"10,000"
23,1162,19.70,"1,000",0
24,1165  日盛板橋,19.65,"1,000",0
25,1165,19.70,0,"1,000"
26,1168  日盛高雄,19.65,0,"1,000"
27,116A  日盛木柵,19.80,"5,000",0
28,116B  日盛中壢,19.60,"1,000",0
29,116B,19.70,"2,000",0
30,116B,19.85,0,"1,000"
31,116e  日盛竹北,19.80,0,"5,000"
32,116f  日盛復興,19.70,"8,000",0
33,116F  日盛員林,19.65,0,"1,000"
34,116G  日盛景美,19.80,0,"1,000"
35,116S  日盛新莊,19.60,"1,000",0
36,116W  日盛鳳山,19.65,"2,000",0
37,126U  宏遠館前,19.70,"2,000","2,000"
38,1440  美林,19.75,0,"18,000"
39,1470  台灣摩根,19.65,0,"21,000"
40,1480  美商高盛,19.70,"7,000",0
41,1480,19.75,"4,000",0
42,1480,19.80,0,"7,000"
43,1480,19.85,0,"6,000"
44,1520  瑞士信貸,19.85,0,"1,000"
45,1530  德意志,19.70,0,"9,000"
46,1530,19.75,0,"1,000"
47,1530,19.90,0,"2,000"
48,1650  瑞銀,19.60,0,"30,000"
49,1650,19.65,0,"65,000"
50,1650,19.70,0,"328,000"
51,1650,19.75,0,"106,000"
52,1650,19.80,0,"15,000"
53,1650,19.85,0,"20,000"
54,1650,19.90,0,"44,000"
55,2180  亞    東,19.60,0,"1,000"
56,2180,19.75,"1,000",0
57,2184  亞東新竹,19.85,0,"5,000"
58,2185  亞東台南,19.65,"10,000",0
59,5266  大慶中壢,19.70,"10,000",0
60,526K  大慶富順,19.70,0,"1,000"
61,526K,19.75,0,"1,000"
62,526K,19.85,0,"1,000"
63,526L  大慶長榮,19.70,0,"1,000"
64,5322  高橋中壢,19.65,"1,000",0
65,5381  第一員林,19.65,0,"6,000"
66,5385  第一桃園,20.00,0,194
67,5386  第一彰化,19.70,"1,000",0
68,5387  第一澎湖,19.75,0,"1,000"
69,538D  第一忠孝,19.60,"5,000",0
70,538D,19.65,"10,000",0
71,538D,19.70,"10,000",0
72,538D,19.75,"4,000",0
73,538D,19.80,"2,000",0
74,538X  第一新莊,19.90,"1,000",0
75,5690  豐    興,19.65,"1,000",0
76,5850  統    一,19.70,"200,000",0
77,5853  統一中壢,19.70,"2,000",0
78,5856  統一台中,19.90,"1,000",0
79,5857  統一新竹,19.90,0,"1,000"
80,585F  統一彰化,19.65,"5,000",0
81,585F,19.85,0,"6,000"
82,585F,19.90,0,"4,000"
83,585H  統一桃園,19.70,0,"3,000"
84,585H,19.90,"1,000","1,000"
85,585W  統一金門,19.65,0,"2,000"
86,585Y  統一土城,19.65,"20,000",0
87,585Y,19.70,"20,000",0
88,585Y,19.75,"39,000",0
89,5922  元富新店,19.90,"2,000",0
90,5929  元富台南,19.90,"10,000",0
91,592i  元富中港,19.90,"1,000",0
92,592I  元富嘉義,19.70,"1,000",0
93,592j  元富府中,19.70,"5,000","5,000"
94,592l  元富大裕,20.00,240,0
95,592m  元富成功,19.85,"1,000",0
96,592n  元富西松,19.70,0,"5,000"
97,592n,20.00,0,247
98,592N  元富虎尾,19.65,0,"6,000"
99,592u  元富世貿,19.65,0,"10,000"
100,592X  元富草屯,19.75,"2,000","1,000"
101,5964  日茂霧峰,19.70,"4,000",0
102,6114  中商員林,19.65,0,"15,000"
103,6164  中信託文,19.75,"2,000",0
104,6165  中信託新,19.65,"1,000",0
105,6210  新 百 王,19.65,"10,000",0
106,6461  大昌樹林,19.90,"10,000",0
107,6464  大昌新店,19.80,"1,000",0
108,6531  大眾左楠,19.65,0,"3,000"
109,6533  大眾台南,19.75,"1,000",0
110,6533,19.85,"10,000",0
111,6538  大眾新營,19.90,0,"10,000"
112,653A  大眾台東,19.70,"1,000",0
113,653C  大眾通營,19.65,"1,000",0
114,653C,19.85,"1,000",0
115,6641  渣打新明,19.80,0,"2,000"
116,6912  德信中正,19.70,0,"1,000"
117,6912,19.85,"1,000",0
118,6950  福    勝,19.65,0,"2,000"
119,7006  兆豐台南,19.65,"1,000",0
120,7006,19.70,"1,000",0
121,700a  兆豐忠孝,19.65,0,"1,000"
122,700i  兆豐松德,19.70,"1,000",0
123,700I  兆豐北高,19.65,"5,000",0
124,700J  兆豐公益,19.70,"10,000",0
125,700K  兆豐新營,19.65,"1,000","1,000"
126,700r  兆豐寶成,19.70,"12,000",0
127,700V  兆豐新竹,19.70,"1,000",0
128,700Z  兆豐高雄,19.65,"1,000",0
129,7038  致和南京,19.65,"5,000",0
130,7690  金    興,19.80,0,"6,000"
131,7792  國票北投,19.75,"1,000",0
132,7795  國票南港,19.80,"1,000",0
133,779c  國票敦北,19.75,0,"2,000"
134,779c,19.80,0,"1,000"
135,779J  國票北高,19.65,"1,000",0
136,779P  國票九鼎,19.80,0,"10,000"
137,779V  國票天祥,19.70,"2,000","1,000"
138,779V,19.75,"4,000",0
139,779X  國票中和,19.60,"1,000",0
140,8150  台    新,19.75,"3,000",0
141,8450  康    和,19.70,"2,000",0
142,845C  康和太平,19.65,0,"1,000"
143,845H  康和東湖,19.60,"1,000",0
144,845P  康和板新,20.00,0,500
145,8560  新    光,19.65,"3,000",0
146,8560,19.70,0,"1,000"
147,8560,19.75,"1,000",0
148,8560,19.80,"6,000",0
149,8560,19.85,0,"2,000"
150,8561  新光台中,19.90,"5,000",0
