序,證券商,成交單價,買進股數,賣出股數
1,1020  合　　庫,68.60,"1,000",0
2,1020,68.70,0,"1,000"
3,1020,68.90,0,"2,000"
4,1020,69.00,"21,000","5,000"
5,1020,69.10,0,"6,000"
6,1020,69.80,0,"3,000"
7,1021  合庫台中,68.80,0,"2,000"
8,1021,68.90,"2,000",0
9,1021,69.00,0,"1,000"
10,1021,69.10,0,"1,000"
11,1021,70.00,"1,000",0
12,1022  合庫台南,68.70,"2,000",0
13,1022,68.80,"6,000",0
14,1022,70.00,0,"2,000"
15,1023  合庫高雄,68.70,"1,000",0
16,1023,69.00,"1,000",0
17,1023,69.10,0,"1,000"
18,1023,69.80,"2,000",0
19,1023,70.00,"1,000",0
20,1025  合庫基隆,68.70,"2,000",0
21,1025,68.80,"1,000",0
22,1025,69.80,"2,000",0
23,102A  合庫竹塹,68.60,"3,000",0
24,102A,68.70,"3,000",0
25,102A,68.80,"1,000",0
26,102C  合庫自強,68.70,"1,000",0
27,102C,68.80,"3,000",0
28,102C,68.90,"4,000",0
29,102C,69.50,"1,000",0
30,102C,69.70,"1,000",0
31,102C,70.30,"1,000",0
32,102E  合庫東桃,68.80,"1,000",0
33,102E,69.00,"1,000",0
34,102E,69.80,"1,000",0
35,1030  土　　銀,69.10,"3,000",0
36,1031  土銀台中,68.90,0,"3,000"
37,1033  土銀高雄,69.10,"1,000",0
38,1035  土銀新竹,68.90,"1,000",0
39,1036  土銀玉里,68.70,"2,000",0
40,1037  土銀花蓮,68.60,"1,000",0
41,1037,68.70,"1,000",0
42,1037,68.80,"1,000",0
43,1038  土銀和平,68.90,"1,000",0
44,1038,70.00,0,"10,000"
45,1039  土銀士林,68.80,"1,000",0
46,103C  土銀白河,68.70,"3,000","5,000"
47,103C,68.80,0,"3,000"
48,103C,68.90,0,"8,000"
49,103C,70.00,"3,000",0
50,103D  土銀湖口,68.50,"1,000",0
51,103D,69.00,"1,000",0
52,1040  臺    銀,68.50,"1,000",0
53,1040,68.70,"2,000","1,000"
54,1040,68.80,"1,000","15,000"
55,1040,68.90,"4,000",0
56,1040,69.10,0,"1,000"
57,1040,69.50,"1,000",0
58,1040,69.60,0,"1,000"
59,1041  臺銀鳳山,68.70,0,"1,000"
60,1041,68.80,"10,000",0
61,1041,68.90,"31,000",0
62,1042  臺銀臺南,68.70,"4,000",0
63,1042,68.80,"5,000",0
64,1042,68.90,"3,000",0
65,1042,69.10,"2,000",0
66,1043  臺銀民權,68.60,"4,000",0
67,1043,68.70,"1,000",0
68,1043,68.90,"1,000","3,000"
69,1043,69.00,"8,000",0
70,1043,69.10,0,"10,000"
71,1043,70.30,"1,000",0
72,1045  臺銀新竹,68.70,"1,000",0
73,1045,69.00,30,0
74,104A  臺銀臺中,68.80,"2,000",0
75,104A,68.90,"3,000",0
76,104A,69.00,"3,000",0
77,104A,69.10,0,"1,000"
78,104A,69.80,"1,000",0
79,104C  臺銀高雄,69.00,"1,000",0
80,104C,69.50,"1,000",0
81,104D  臺銀金山,68.70,"10,000",0
82,104D,68.80,"6,000",0
83,104D,68.90,"7,000",0
84,104D,69.00,"4,000",0
85,104D,70.10,"15,000",0
86,1090  工    銀,68.90,0,"20,000"
87,1091  工銀台中,68.80,"1,000","16,000"
88,1091,68.90,"24,000","8,000"
89,1095  工銀桃園,69.20,"1,000",0
90,1096  工銀板橋,68.80,"5,000",0
91,1096,68.90,"10,000",0
92,1096,69.00,"5,000",0
93,1096,70.30,0,"20,000"
94,1097  工銀高雄,68.70,"1,000",0
95,1097,68.90,0,"1,000"
96,109A  工銀城中,68.70,"2,000",0
97,109A,69.00,"1,000","1,000"
