664F,渣打仁愛
664G,渣打板橋
6910,德    信
6911,德信台北
6912,德信中正
6913,德信新營
6914,德信三重
6915,德信和平
6950,福    勝
7000,兆豐
7001,兆豐嘉義
7003,兆豐台中
7004,兆豐東高
7005,兆豐中港
7006,兆豐台南
7007,兆豐竹北
7008,兆豐三重
7009,兆豐景美
700B,兆豐板橋
700C,兆豐來福
700D,兆豐西螺
700E,兆豐斗南
700F,兆豐虎尾
700G,兆豐麻豆
700H,兆豐東門
700I,兆豐北高
700J,兆豐公益
700K,兆豐新營
700L,兆豐天母
700M,兆豐桃園
700N,兆豐埔墘
700P,兆豐南京
700R,兆豐小港
700S,兆豐大同
700U,兆豐桃鶯
700V,兆豐新竹
700W,兆豐城中
700X,兆豐永和
700Y,兆豐世貿
700Z,兆豐高雄
700a,兆豐忠孝
700b,兆豐中壢
700c,兆豐民生
700d,兆豐彰化
700f,兆豐鹿港
700g,兆豐南門
700h,兆豐三民
700i,兆豐松德
700j,兆豐大安
700k,兆豐員林
700p,兆豐復興
700q,兆豐內湖
700r,兆豐寶成
700s,兆豐岡山
700w,兆豐新莊
7020,信    富
7030,致    和
7031,致和台北
7032,致和佳里
7033,致和府前
7034,致和金華
7035,致和東門
7036,致和高雄
7038,致和南京
703A,致和日陞
703B,致和崇德
7070,豐    農
7080,石    橋
7081,石橋台北
7120,台    安
7670,金    港
7671,金港博愛
7750,北    城
7752,北城雙和
7780,富    星
7781,富星斗南
7782,富星北港
7783,富星斗六
7790,國票綜合
7791,國票台東
7792,國票北投
7795,國票南港
7797,國票中正
7798,國票內壢
779D,國票台南
779E,國票南崁
779G,國票新莊
779H,國票嘉義
779J,國票北高
779L,國票蘆洲
779P,國票九鼎
779V,國票天祥
779W,國票彰化
779X,國票中和
779Z,國票安和
779c,國票敦北
779e,國票新化
779j,國票和平
779m,國票中港
779n,國票南京
779r,國票桃國
779u,國票長城
779v,國際台中
779w,國票景新
779z,國票博愛
7900,金    豐
8150,台    新
815A,台新高雄
815B,台新台中
8380,安    泰
8381,安泰大發
8382,安泰楠梓
8440,摩根大通
8450,康    和
8451,康和延平
8454,康和新營
8455,康和台中
8456,康和新竹
8458,康和台南
8459,康和嘉義
845A,康和內湖
845B,康和永和
845C,康和太平
845D,康和板橋
845E,康和澎湖
845F,康和仁愛
845H,康和東湖
845I,康和古亭
845J,康和高雄
845P,康和板新
845R,康和石牌
845S,康和南崁
845U,康和復興
845V,康和新莊
845X,康和屏東
8490,萬    泰
8520,中    農
8560,新    光
8561,新光台中
8562,新光高雄
8563,新光新竹
8564,新光台南
8580,聯    邦
8581,聯邦高雄
8582,聯邦嘉義
8583,聯邦敦化
8584,聯邦雙和
8585,聯邦三重
8660,萬    通
8710,陽   信
8711,陽信石牌
8712,陽信景美
8770,大鼎
8840,玉    山
8841,玉山雙和
8842,玉山新莊
8843,玉山高雄
8844,玉山松江
8845,玉山仁愛
8846,玉山土城
8847,玉山台南
8848,玉山嘉義
8849,玉山台大
884A,玉山士林
884B,玉山台中
884C,玉山南京
884D,玉山左營
884E,玉山城中
884F,玉山桃園
884G,玉山金華
884H,玉山新竹
884I,玉山內湖
884J,玉山大里
884K,玉山板橋
8850,鑫    豐
8880,國泰綜合
8881,國泰高雄
8882,國泰台中
8883,國泰松江
8884,國泰台南
8885,國泰桃園
8886,國泰新莊
8887,國泰忠孝
888A,國泰館前
888K,國泰板橋
8890,大和國泰
8900,法銀巴黎
8910,巴克萊
8960,上海匯豐
9100,群益
9101,群益敦南
9103,群益松山
9105,群益高盛
9108,群益海山
910D,群益大興
9131,群益民權
9132,群益成功
9133,群益新興
9134,群益開元
9135,群益經國
9136,群益西松
9137,群益士林
9138,群益中港
913A,群益上新
913B,群益新壢
913C,群益信義
913D,群益潭子
913E,群益基隆
913H,群益屏東
913I,群益萬華
913J,群益五甲
913K,群益員林
913N,群益土城
913R,群益五福
913U,群益崇德
913Y,群益館前
913e,群益城中
913g,群益南三
9183,群益高雄
9184,群益台中
9185,群益台南
9186,群益新竹
9187,群益彰化
9188,群益三民
9189,群益桃園
918A,群益中壢
918B,群益板橋
918C,群益古亭
918D,群益東門
918E,群益南京
918F,群益新店
918G,群益新莊
918H,群益中山
918J,群益永和
918K,群益東湖
918L,群益建成
918M,群益嘉義
918P,群益天母
918R,群益大直
918W,群益忠孝
918X,群益台北
918c,群益鳳山
918d,群益內湖
918e,群益大安
918g,群益大甲
918i,群益竹南
918k,群益西屯
918s,群益丹鳳
918u,群益瑞豐
918x,群益延平
