有價證券代號及名稱,
5604,中連貨
5609,中菲行
5701,劍湖山
5703,亞都
5704,老爺知
5820,日盛金
5902,德記
5903,全家
5904,寶雅
5905,南仁湖
6015,宏遠證
6016,康和證
6020,大展證
6021,大慶證
6022,大眾證
6023,元大期
6024,群益期
6101,弘捷
6103,合邦
6104,創惟
6105,瑞傳
6107,華美
6109,亞元
6111,大宇資
6113,亞矽
6114,翔昇
6118,建達
6121,新普
6122,擎邦
6123,上奇
6124,業強
6125,廣運
6126,信音
6127,九豪
6129,普誠
6130,基因
6134,萬旭
6135,佳營
6138,茂達
6140,訊達
6143,振曜
6144,得利影
6146,耕興
6147,頎邦
6148,驊宏資
6150,撼訊
6151,晉倫
6154,順發
6156,松上
6158,禾昌
6160,欣技
6161,捷波
6163,華電網
6167,久正
6169,昱泉
6170,統振
6171,亞銳士
6173,信昌電
6174,安碁
6175,立敦
6179,世仰
6180,橘子
6182,合晶
6185,幃翔
6186,新潤
6187,萬潤
6188,廣明
6190,萬泰
6194,育富
6195,詩肯
6198,凌泰
6203,海韻
6204,艾華
6207,雷科
6208,日揚
6210,慶生
6211,福登
6212,理銘
6217,中探針
6218,豪勉
6219,富旺
6220,岳豐
6221,晉泰
6222,上揚
6223,旺矽
6227,茂綸
6228,全譜
6229,研通
6231,系微
6233,旺玖
6234,高僑
6236,康呈
6237,驊訊
6238,勝麗
6240,松崗
6241,易通展
6242,亨豐
6244,茂迪
6245,立端
6246,臺龍
6247,淇譽電
6248,沛波
6250,宇加
6259,百徽
6261,久元
6263,普萊德
6264,德士通
6265,方土昶
6266,泰詠
6270,倍微
6274,台燿
6275,元山
6276,安鈦克
6279,胡連
6284,佳邦
6287,元隆
6290,良維
6291,沛亨
6292,迅德
6294,智基
6298,崴強
6404,F-通訊
6411,晶焱
6506,雙邦
6508,惠光
6509,聚和
6603,富強鑫
6609,瀧澤科
6803,崑鼎
8024,佑華
8032,光菱
8034,榮群
8038,長園科
8040,九暘
8042,金山電
8043,蜜望實
8044,網家
8047,星雲
8048,德勝
8049,晶采
8050,廣積
8053,巨擘
8054,安國
8059,凱碩
8064,東捷
8066,來思達
8067,志旭
8068,全達
8069,元太
8071,能率豐
8074,鉅橡
8076,伍豐
8077,冠華
